Words are...
welding process
DAS IST PHRASE!
"selection of" OR "selection for"
We are sending from 146.59.158.228
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=welding%20process&as_epq=%22selection%20of%22%20OR%20%22selection%20for%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=2006&as_yhi=2010&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
we have 10 articles of 11 total!
We will wait for 2 seconds...
There is no captcha!
11 0
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Selection of welding process parameters for the optimum butt-joint strength of an aluminum alloy|A Kumar, S Sundarrajan - Materials and manufacturing processes, 2006 - Taylor & Francis|https://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1080/03602550600728117|2006|48|3|9876573053690858088|None|https://scholar.google.com/scholar?cites=9876573053690858088&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=9876573053690858088&hl=en&as_sdt=1,5&as_ylo=2006&as_yhi=2010|None|In this paper, the selection of welding process parameters for obtaining the optimum weld butt-joint ultimate tensile strength (UTS) of aluminum alloy (6061-T6) is presented. Considering weld-joint UTS as the quality characteristic in the selection of process  …
Selection of welding process for hardfacing on carbon steels based on quantitative and qualitative factors|V Balasubramanian, R Varahamoorthy… - … International Journal of …, 2009 - Springer|https://scholar.google.com/https://link.springer.com/content/pdf/10.1007/s00170-008-1406-8.pdf|2009|62|8|16559707351776585121|https://scholar.google.com/https://link.springer.com/content/pdf/10.1007/s00170-008-1406-8.pdf|https://scholar.google.com/scholar?cites=16559707351776585121&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=16559707351776585121&hl=en&as_sdt=1,5&as_ylo=2006&as_yhi=2010|None|Weld hardfacing techniques are employed mainly to extend or improve the service life of engineering components either by rebuilding or by fabricating in such a way as to produce a composite wall section to combat wear, erosion, corrosion, etc. In this paper, an attempt has …
Selection of welding process to fabricate butt joints of high strength aluminium alloys using analytic hierarchic process|V Ravisankar, V Balasubramanian, C Muralidharan - Materials & design, 2006 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S0261306904002985|2006|39|6|10855894437730750558|None|https://scholar.google.com/scholar?cites=10855894437730750558&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=10855894437730750558&hl=en&as_sdt=1,5&as_ylo=2006&as_yhi=2010|None|Selection of welding process is an unstructured decision problem involving multiple attributes (factors). To provide decision support for the welding or design engineer, an all encompassing analysis of multiple attributes is necessary. The present paper reports a new …
Selection of process parameters for optimizing the weld strength in laser transmission welding of acrylics|B Acherjee, AS Kuar, S Mitra… - Proceedings of the …, 2010 - journals.sagepub.com|https://scholar.google.com/https://journals.sagepub.com/doi/abs/10.1243/09544054jem1854|2010|29|4|15122345967043382166|None|https://scholar.google.com/scholar?cites=15122345967043382166&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=15122345967043382166&hl=en&as_sdt=1,5&as_ylo=2006&as_yhi=2010|None|In this paper, an experimental investigation into laser transmission welding of acrylics is carried out. The Taguchi method of parameter design is used as a statistical design of experiment technique to set the optimal process parameters. Experiments are designed and …
Welding Process Selection for a Given Application|RV Rao - Decision Making in the Manufacturing Environment …, 2007 - Springer|https://scholar.google.com/https://link.springer.com/content/pdf/10.1007/978-1-84628-819-7_18.pdf|2007|1|0|2843558156098411984|https://scholar.google.com/https://link.springer.com/content/pdf/10.1007/978-1-84628-819-7_18.pdf|https://scholar.google.com/scholar?cites=2843558156098411984&as_sdt=2005&sciodt=1,5&hl=en|None|None|Welding is a process of joining two or more pieces of the same or dissimilar materials to achieve complete coalescence. Almost all materials can be welded but not always by the same welding process. Some welding processes are known to be associated with specific …
Optimal Selection of Automatic Ultra-sonic Test Process for Weids with Both Sides Submerged Arc Welding|H Lei - Petroleum Engineering Construction, 2006 - en.cnki.com.cn|http://en.cnki.com.cn/Article_en/CJFDTotal-SYGJ200601019.htm|2006|0|0|None|None|None|None|None|The internal quality of weids with both sides submerged are weiding is deterrtlined mainly by automatic ultra-sonic test. And the veracity of the test is assured by test process. This paper illustrates the automatic ultra-sonic test process in respects of sensor selection, coupling …
Selection of shielding gas for hybrid process of laser-arc welding|NM Voropaj, VM Ilyushenko, VY Khaskin - Svarshchik, 2006|None|2006|2|0|3646995645663620579|None|https://scholar.google.com/scholar?cites=3646995645663620579&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
H-2 The Optimal Feed Value Selection for Milling Process Application (Session: Milling Welding)|S Ieamsupapong - The Proceedings of the Asian Symposium on …, 2006 - jstage.jst.go.jp|https://scholar.google.com/https://www.jstage.jst.go.jp/article/jsmeasmp/2006/0/2006_138/_article/-char/ja/|2006|0|2|None|None|None|https://scholar.google.com/scholar?cluster=15666887663351958812&hl=en&as_sdt=1,5&as_ylo=2006&as_yhi=2010|None|The overall goal fbrthis work isto developa mechanics of cutting based procedure forselecting the appropriate cutting condition, specifically, the optimal feed value selection under the assumption that optimal values of cutting speed and depthof cut are known …
Reconstitution of Cv test specimens by electron beam welding: process parameters selection|B Tabakova, P Petrov, I Yankova - 2007 - inis.iaea.org|https://scholar.google.com/https://inis.iaea.org/search/search.aspx?orig_q=RN:46066266|2007|0|2|None|None|None|https://scholar.google.com/scholar?cluster=5537907328441446318&hl=en&as_sdt=1,5&as_ylo=2006&as_yhi=2010|None|… 5. Conclusion In this paper, the selection of the process parameter for electron beam weldingof pressure vessel steel with optimal weld pool geometry during reconstitution of Charpy testspecimens with size of the insert 10x10x10 has been reported … 
COMPREHENSIVE STUDY OF STRIP SELECTION AND WELD ERRORS IN A STEEL TUBE ERW WELDING PROCESS.|M Krsulja, B Barisic, J Kudlacek - Annals of DAAAM & …, 2009 - search.ebscohost.com|http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=17269679&asa=Y&AN=47080835&h=jvhLyXDuJZSMe53YdFC79W9ZISkDw0rV3t%2BPEAhCJUWTqkjm5mwI71de8oHLOMFIrTWfcvqWRBf%2Fy%2F1SkCxB7w%3D%3D&crl=c|2009|1|3|13945226758276669147|None|https://scholar.google.com/scholar?cites=13945226758276669147&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=13945226758276669147&hl=en&as_sdt=1,5&as_ylo=2006&as_yhi=2010|None|… ION AND W G PROCE imir] & KUD 1. Material pro 2. Selection of … (Hea nks as well go EPUS IIHR 010 REFERENCE inia, K. & Fa analysis fort he verification, In Elsevier, doi:10 erheim, JI HeavyWal welding.blogsp on: 2009-05-05 mao, J.; Dayon Research on s process of E … 
Comprehensive Study of Strip Selection and Weld Errors in a Steel Tube Erw Welding Process|M Kršulja, B Barišić, J Kudlaček - The 20th INTERNATIONAL DAAAM …, 2009 - bib.irb.hr|https://scholar.google.com/https://bib.irb.hr/datoteka/456629.DAAAM_2009_Krsulja_Barisic_Kudlacek.pdf|2009|2|0|12868374738180775931|https://scholar.google.com/https://bib.irb.hr/datoteka/456629.DAAAM_2009_Krsulja_Barisic_Kudlacek.pdf|https://scholar.google.com/scholar?cites=12868374738180775931&as_sdt=2005&sciodt=1,5&hl=en|None|None|… 1. Material properties oftested tubes Fig.2. Selection of the ideal initial length of the flat … Researchon strip deformation in the cage roll-forming process of ERW round pipes … 4856, Elsevier,doi:10.1016/j.jmatprotec.2009.01.011 Nicols, RK; Common HF welding defects, thermatool … 
