Words are...
welding process selection
We are sending from 135.148.33.143
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=welding%20process%20selection&as_epq=&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1996&as_yhi=2000&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
A quality and cost approach for welding process selection|CR Silva, VA Ferraresi, A Scotti - Journal of the Brazilian Society of …, 2000 - SciELO Brasil|https://scholar.google.com/https://www.scielo.br/scielo.php?pid=S0100-73862000000300002&script=sci_arttext|2000|32|3|16907636139318919419|None|https://scholar.google.com/scholar?cites=16907636139318919419&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=16907636139318919419&hl=en&as_sdt=1,5&as_ylo=1996&as_yhi=2000|None|The aim of this work was to propose, apply and evaluate a methodical approach to select welding processes in a productive environment based on market requirements of Quality and Costs. A case study was used. The welds were carried out in laboratory, simulating the …
A knowledge base for metal welding process selection|SM Darwish, A Al Tamimi, S Al-Habdan - International Journal of Machine …, 1997 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S0890695596000739|1997|28|4|11546550150550670779|None|https://scholar.google.com/scholar?cites=11546550150550670779&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=11546550150550670779&hl=en&as_sdt=1,5&as_ylo=1996&as_yhi=2000|None|Metal welding process selection calls for extensive know-how which deals with a huge amount of knowledge. Hence, automation of knowledge through a knowledge-based system will greatly enhance the decision-making process. Thes paper describes a knowledge-base …
Selection of welding process to fabricate cruciform joints using analytic hierarchic process based on qualitative factors|V Balasubramanian, B Guha… - … technology of welding …, 2000 - Taylor & Francis|https://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1179/136217100101538218|2000|2|4|12722976571558459886|None|https://scholar.google.com/scholar?cites=12722976571558459886&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=12722976571558459886&hl=en&as_sdt=1,5&as_ylo=1996&as_yhi=2000|None|Selection of a welding process is an unstructured decision problem involving multiple attributes (factors). To provide decision support for the welding engineer, an all encompassing analysis of multiple attributes is necessary. The present paper reports a new …
Welding process selection|C Muralidharan, V Balasubramanian, N Anantharaman… - J Prod, 2000|None|2000|3|0|701899074454390105|None|https://scholar.google.com/scholar?cites=701899074454390105&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Gas metal arc welding: product and process selection|J Nadzam - The Lincoln Electric Company, Cleveland, 1997|None|1997|3|0|4346876918435376399|None|https://scholar.google.com/scholar?cites=4346876918435376399&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Selection of Welding Process using Analytic Hierarchy Process|C Muralidharan… - JOURNAL …, 2000 - INSTITUTE OF ENGINEERS INDIA|None|2000|7|0|13319951424294374534|None|https://scholar.google.com/scholar?cites=13319951424294374534&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Selection of welding process using analytic hierarchy process, Institution of Engineers (India)|C Muralidharan, N Anantharaman, V Balasubramanian… - Mechanical Engineering …, 1999|None|1999|3|0|5404591087613420004|None|https://scholar.google.com/scholar?cites=5404591087613420004&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Proper Selection of Auxiliary Heat Source for Reducing Thermal Residual Stresses During Welding Process|RR Kunde, PV Kuppa, S Jahanian - Proc. of Reliability, Stress Analysis, and Failure …, 1998|None|1998|2|0|10306105165231925645|None|https://scholar.google.com/scholar?cites=10306105165231925645&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
Method for selection of process parameters in pulsed GMAW helps to efficiently develop welding procedures|S Subramaniam, D White, J Jones, DA LYONS - Welding Journal, 1999|None|1999|4|0|6558423687153177679|None|https://scholar.google.com/scholar?cites=6558423687153177679&as_sdt=2005&sciodt=1,5&hl=en|None|None|None
… TYPE SELECTION IN THE CASE OF THE CO2-LASER-BEAM WELDING OF ALUMINIUMIN ORDER TO IMPROVE THE PROCESS RELIABILITY: PART 1 …|K GOTH, F DOUSINGER… - Schweissen+ …, 1999 - Deutscher Verlag für …|None|1999|0|0|None|None|None|None|None|None
