DAS IST PHRASE!
"Materialauswahl"
We are sending from 151.237.185.110
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22Materialauswahl%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=2006&as_yhi=2010&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
we have 10 articles of 12 total!
We will wait for 4 seconds...
There is no captcha!
12 0
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Instandsetzung von Stahlwasserbauten: Empfehlungen zu Ermüdungsfestigkeitsnachweisen, zur Materialauswahl und zu Schweißarbeiten|U Gabrys - Sicherheit, Dauerhaftigkeit und Instandsetzung …, 2006 - henry.baw.de|https://scholar.google.com/https://henry.baw.de/bitstream/20.500.11970/105537/1/11_Gabrys_Instandsetzung_Stahlwasserbauten.pdf|2006|1|0|2577079125628756013|https://scholar.google.com/https://henry.baw.de/bitstream/20.500.11970/105537/1/11_Gabrys_Instandsetzung_Stahlwasserbauten.pdf|https://scholar.google.com/scholar?cites=2577079125628756013&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|Die Dokumente in HENRY stehen unter der Creative Commons Lizenz CC BY 4.0, sofern keine abweichenden Nutzungsbedingungen getroffen wurden. Damit ist sowohl die kommerzielle Nutzung als auch das Teilen, die Weiterbearbeitung und Speicherung erlaubt …
Von Allem einfach nur das Beste: Materialauswahl und Herstellungstechnik der mit Emailmalerei verzierten Glasfragmente aus Lübsow|S Greiff - … im nördlichen Mitteleuropa. Bonner Beiträge zur vor …, 2010|None|2010|4|0|7284798677933042625|None|https://scholar.google.com/scholar?cites=7284798677933042625&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Einfluss von Materialauswahl, Design und fertigungstechnischen Parametern auf die Dichtigkeit von Blisterverpackungen für sensible pharmazeutische …|B Metzger - 2007 - Verlag nicht ermittelbar|None|2007|3|0|6259559474392571934|None|https://scholar.google.com/scholar?cites=6259559474392571934&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Präanalytik Materialauswahl, Probennahme, Lagerung und Transport|HK Geiss, B Neumeister, RW Braun, P Kimmig - :, 2009 - Thieme|None|2009|2|0|877189739123704212|None|https://scholar.google.com/scholar?cites=877189739123704212&as_sdt=2005&sciodt=1,5&hl=en&oe=ASCII|None|None|None
Richtige Materialauswahl als Schlussel zum Erfolg|M Setzen, DV Falkenhayn - Gummi Fasern Kunststoffe, 2006 - Stuttgart: Gentner,[1984?-|None|2006|0|0|None|None|None|None|None|None
Energieeffizienz schwerer Baustoffe-Materialauswahl und Bauphysik|U Meywald - DEUTSCHE BAUZEITSCHRIFT, 2008 - VERLAG UND HERAUSGEBER|None|2008|0|0|None|None|None|None|None|None
Die Wiederherstellung des naturlichen Lachelns durch richtige Materialauswahl|P Adar - QUINTESSENZ ZAHNTECHNIK, 2007 - QUINTESSENZ VERLAGS-GMBH|None|2007|0|0|None|None|None|None|None|None
Regelventile für Sauerstoff—Auslegung, Materialauswahl und Einsatzgrenzen|L Grutesen - Industriearmaturen The Industrial Valve Journal, 2010|None|2010|0|0|None|None|None|None|None|None
Kardiale Resynchronisationstherapie (CRT): Koronarvenenanatomie, Materialauswahl, Implantationstechnik|C Butter, HH Minden - 2007 - Springer|None|2007|0|0|None|None|None|None|None|None
Materialauswahl beim Carotisstenting: pathomorphologische u. pathophysiologische Aspekte|H Brückmann - RöFo-Fortschritte auf dem Gebiet der Röntgenstrahlen …, 2010|None|2010|0|0|None|None|None|None|None|None
Oxygen control valves. Sizing, material selection and limitations of use; Regelventile fuer Sauerstoff. Auslegung, Materialauswahl und Einsatzgrenzen|L Grutesen - 2010 - osti.gov|https://scholar.google.com/https://www.osti.gov/etdeweb/biblio/21397523|2010|0|0|None|None|None|None|None|Commercially pure oxygen is used on a large scale in steelmaking and gasification plants for the production of chemical products and energy from coal, other fossil fuels and biomass. Greatly fluctuating oil prices, the general focus on assuredness of supply and, of course …
Kardiale Resynchronisationstherapie (CRT): Koronarvenenanatomie, Materialauswahl, Implantationstechnik|HH Minden, C Butter - 2008 - Springer|None|2008|0|0|None|None|None|None|None|None
