DAS IST PHRASE!
"process selection"
We are sending from 31.220.0.202
There is no captcha!
Following query was issued to GS:
https://scholar.google.com/scholar?start=0&as_q=&as_epq=%22process%20selection%22&as_oq=&as_eq=&as_occt=title&as_sauthors=&as_publication=&as_ylo=1991&as_yhi=1995&as_vis=0&btnG=&hl=en&as_sdt=1%2C5
we have 10 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
20 0
we have 20 articles of 111 total!
We will wait for 2 seconds...
There is no captcha!
30 20
we have 30 articles of 111 total!
We will wait for 4 seconds...
There is no captcha!
40 30
we have 40 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
50 40
we have 50 articles of 111 total!
We will wait for 3 seconds...
There is no captcha!
60 50
we have 60 articles of 111 total!
We will wait for 3 seconds...
There is no captcha!
70 60
we have 70 articles of 111 total!
We will wait for 1 seconds...
There is no captcha!
80 70
we have 80 articles of 111 total!
We will wait for 3 seconds...
There is no captcha!
90 80
we have 90 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
100 90
we have 100 articles of 111 total!
We will wait for 5 seconds...
There is no captcha!
Probably only one missing!
title|author|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt
Computer-aided design for manufacturing process selection|JC Yu, S Krizan, K Ishii - Journal of Intelligent Manufacturing, 1993 - Springer|https://scholar.google.com/https://link.springer.com/content/pdf/10.1007/BF00123964.pdf|1993|69|4|10578733069454193071|https://scholar.google.com/https://link.springer.com/content/pdf/10.1007/BF00123964.pdf|https://scholar.google.com/scholar?cites=10578733069454193071&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=10578733069454193071&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper describes an expert system that helps designers select a manufacturing process in the early stage of product design. First, the paper focuses on net-shape manufacturing processes and identifies the major factors that affect the selection of an appropriate process …
A knowledge-based approach to automated machining process selection and sequencing|TN Wong, SL Siu - International Journal of Production Research, 1995 - Taylor & Francis|https://scholar.google.com/https://www.tandfonline.com/doi/abs/10.1080/00207549508904885|1995|50|4|10116587133561417210|None|https://scholar.google.com/scholar?cites=10116587133561417210&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=10116587133561417210&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper describes an expert module for automatic process selection and sequencing. This process selection and sequencing algorithm comprises three sub-algorithms, the transformation algorithm, the refinement algorithm and the linearization algorithm. The …
Integrating facility layout with process selection and capacity planning|RG Askin, MG Mitwasi - European Journal of Operational Research, 1992 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/037722179290040G|1992|41|7|17327822850502371050|None|https://scholar.google.com/scholar?cites=17327822850502371050&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=17327822850502371050&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|In planning a manufacturing system, many basic system design decisions are required. Included are selecting a manufacturing technology for each product type (process selection), determining maximum production levels of each product type (capacity planning), and …
A knowledge base for alloy and process selection for casting|N Sirilertworakul, PD Webster, TA Dean - International Journal of Machine …, 1993 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/089069559390048Y|1993|33|3|988757873083619463|None|https://scholar.google.com/scholar?cites=988757873083619463&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=988757873083619463&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper describes a computer-installed interactive knowledge base that facilitates the choice of alloy and casting method, given a component design and specification. The input comprises certain mechanical and physical properties, dimensions and the quantity of …
Simultaneous optimization of design and manufacturing—tolerances with process (machine) selection|C Zhang, HP Wang, JK Li - CIRP annals, 1992 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/S0007850607612700|1992|62|4|15173291872628891704|None|https://scholar.google.com/scholar?cites=15173291872628891704&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=15173291872628891704&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|… to produce component i; 6iIk - lower bound of 6Gk - upper bound of n - number of componentsin the assembly; mi - number of operations (stages) for producing component i; p;j - number ofalternative processes for the jth operation to prodnce Xi,, - process selection coefficient; 1 … 
Process selection for protein-enrichment: fermentation of the sugar industry by-products molasses and sugar beet pulp|P Nigam - Process Biochemistry, 1994 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/0032959294870020|1994|40|8|2198572567628235565|None|https://scholar.google.com/scholar?cites=2198572567628235565&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=2198572567628235565&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|Four fungi were cultivated in submerged (SF) and solid state fermentation (SSF) using sugar beet pulp and beet molasses as substrates. Products of up to 27% protein content were obtained in SF of beet pulp. The cultures grew well in diluted molasses solutions of 3–4 …
Material-process selection methodology: design for manufacturing and cost using logic programming|L Bock - Cost Engineering, 1991 - search.proquest.com|http://search.proquest.com/openview/2cac93fbc4507033ab3faba8f32590a7/1?pq-origsite=gscholar&cbl=49080|1991|25|2|13699203501525127270|None|https://scholar.google.com/scholar?cites=13699203501525127270&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=13699203501525127270&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|An interactive expert system called CAMPS (Computer-Aided Material Process Selection) uses queries and built-in rules to simulate a designer's logic in choosing a particular material-process combination. CAMPS has 4 main modules: 1. an exclusionary screening …
Concurrent materials and manufacturing process selection in design function deployment|NFO Evbuomwan, S Sivaloganathan… - Concurrent …, 1995 - journals.sagepub.com|https://scholar.google.com/https://journals.sagepub.com/doi/abs/10.1177/1063293X9500300208|1995|20|0|9915461535091714618|None|https://scholar.google.com/scholar?cites=9915461535091714618&as_sdt=2005&sciodt=1,5&hl=en|None|None|This paper aims to enunciate a model for concurrent materials and associated manufacturing process selection within a comprehen sive design system called Design Function Deployment (DFD) The stages of the materials and manufacturing process …
HyperQ/Process: An Expert System for Manufactuing Process Selection|K Ishii, S Krizan, CH Lee, RA Miller - Applications of Artificial Intelligence in …, 1991 - Springer|https://scholar.google.com/https://link.springer.com/chapter/10.1007/978-94-011-3648-8_26|1991|16|2|10689556271339143525|None|https://scholar.google.com/scholar?cites=10689556271339143525&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=10689556271339143525&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper describes an expert system that helps designers select a manufacturing process in the earliest stage of product design. First, the paper focuses on net-shape manufacturing processes and identifies the major factors that affect the selection of an appropriate process …
Process selection for the design of aluminum components|JC Yu, S Lotfi, K Ishii, A Trageser - Advances in Engineering Software, 1993 - Elsevier|https://scholar.google.com/https://www.sciencedirect.com/science/article/pii/0965997893900663|1993|17|4|14075399332547605414|None|https://scholar.google.com/scholar?cites=14075399332547605414&as_sdt=2005&sciodt=1,5&hl=en|https://scholar.google.com/scholar?cluster=14075399332547605414&hl=en&as_sdt=1,5&as_ylo=1991&as_yhi=1995|None|This paper describes a method for process selection of aluminum components in the early stages of design. Aluminum has many advantages in a variety of applications in its manufacturability and recyclability. Yet, engineers who are trained to design steel …
